Modified;File
D;arch/arm/mach-ebsa110/include/mach/timex.h
A;arch/arm/mach-efm32/dtmachine.c
M;arch/arm/mach-ep93xx/clock.c
M;arch/arm/mach-ep93xx/core.c
D;arch/arm/mach-ep93xx/include/mach/memory.h
M;arch/arm/mach-ep93xx/include/mach/platform.h
D;arch/arm/mach-ep93xx/include/mach/timex.h
D;arch/arm/mach-exynos/common.c
M;arch/arm/mach-exynos/common.h
D;arch/arm/mach-exynos/cpuidle.c
A;arch/arm/mach-exynos/exynos.c
M;arch/arm/mach-exynos/firmware.c
M;arch/arm/mach-exynos/hotplug.c
D;arch/arm/mach-exynos/include/mach/hardware.h
M;arch/arm/mach-exynos/include/mach/map.h
D;arch/arm/mach-exynos/include/mach/memory.h
D;arch/arm/mach-exynos/include/mach/pm-core.h
D;arch/arm/mach-exynos/include/mach/regs-clock.h
D;arch/arm/mach-exynos/include/mach/regs-irq.h
D;arch/arm/mach-exynos/include/mach/regs-pmu.h
D;arch/arm/mach-exynos/include/mach/timex.h
D;arch/arm/mach-exynos/include/mach/uncompress.h
D;arch/arm/mach-exynos/mach-exynos4-dt.c
D;arch/arm/mach-exynos/mach-exynos5-dt.c
A;arch/arm/mach-exynos/mcpm-exynos.c
A;arch/arm/mach-exynos/mfc.h
M;arch/arm/mach-exynos/platsmp.c
M;arch/arm/mach-exynos/pm.c
M;arch/arm/mach-exynos/pm_domains.c
M;arch/arm/mach-exynos/pmu.c
A;arch/arm/mach-exynos/regs-pmu.h
A;arch/arm/mach-exynos/regs-sys.h
M;arch/arm/mach-footbridge/cats-hw.c
M;arch/arm/mach-footbridge/common.c
M;arch/arm/mach-footbridge/common.h
M;arch/arm/mach-footbridge/dc21285-timer.c
M;arch/arm/mach-footbridge/dc21285.c
M;arch/arm/mach-footbridge/ebsa285.c
M;arch/arm/mach-footbridge/include/mach/hardware.h
M;arch/arm/mach-footbridge/include/mach/memory.h
D;arch/arm/mach-footbridge/include/mach/timex.h
M;arch/arm/mach-footbridge/isa-timer.c
M;arch/arm/mach-footbridge/netwinder-hw.c
M;arch/arm/mach-gemini/gpio.c
M;arch/arm/mach-gemini/idle.c
D;arch/arm/mach-gemini/include/mach/gpio.h
D;arch/arm/mach-gemini/include/mach/timex.h
M;arch/arm/mach-gemini/time.c
M;arch/arm/mach-highbank/core.h
M;arch/arm/mach-highbank/highbank.c
D;arch/arm/mach-highbank/hotplug.c
D;arch/arm/mach-highbank/platsmp.c
M;arch/arm/mach-highbank/pm.c
A;arch/arm/mach-hisi/core.h
A;arch/arm/mach-hisi/hisilicon.c
A;arch/arm/mach-hisi/hotplug.c
A;arch/arm/mach-hisi/platmcpm.c
A;arch/arm/mach-hisi/platsmp.c
M;arch/arm/mach-imx/anatop.c
M;arch/arm/mach-imx/avic.c
D;arch/arm/mach-imx/board-pcm038.h
A;arch/arm/mach-imx/clk-gate-exclusive.c
M;arch/arm/mach-imx/clk-gate2.c
M;arch/arm/mach-imx/clk-imx1.c
M;arch/arm/mach-imx/clk-imx21.c
M;arch/arm/mach-imx/clk-imx25.c
M;arch/arm/mach-imx/clk-imx27.c
M;arch/arm/mach-imx/clk-imx31.c
M;arch/arm/mach-imx/clk-imx35.c
M;arch/arm/mach-imx/clk-imx51-imx53.c
M;arch/arm/mach-imx/clk-imx6q.c
M;arch/arm/mach-imx/clk-imx6sl.c
A;arch/arm/mach-imx/clk-imx6sx.c
M;arch/arm/mach-imx/clk-pfd.c
M;arch/arm/mach-imx/clk-pllv1.c
M;arch/arm/mach-imx/clk-pllv3.c
M;arch/arm/mach-imx/clk-vf610.c
M;arch/arm/mach-imx/clk.c
M;arch/arm/mach-imx/clk.h
M;arch/arm/mach-imx/common.h
M;arch/arm/mach-imx/cpu-imx5.c
M;arch/arm/mach-imx/cpu.c
M;arch/arm/mach-imx/cpuidle-imx6q.c
A;arch/arm/mach-imx/cpuidle-imx6sl.c
M;arch/arm/mach-imx/cpuidle.h
D;arch/arm/mach-imx/crm-regs-imx5.h
M;arch/arm/mach-imx/devices/devices-common.h
M;arch/arm/mach-imx/devices/devices.c
M;arch/arm/mach-imx/devices/platform-fec.c
M;arch/arm/mach-imx/devices/platform-fsl-usb2-udc.c
M;arch/arm/mach-imx/devices/platform-imx-i2c.c
M;arch/arm/mach-imx/devices/platform-imx-keypad.c
M;arch/arm/mach-imx/devices/platform-imx-ssi.c
M;arch/arm/mach-imx/devices/platform-imx-uart.c
M;arch/arm/mach-imx/devices/platform-imx2-wdt.c
D;arch/arm/mach-imx/devices/platform-imx_udc.c
M;arch/arm/mach-imx/devices/platform-ipu-core.c
D;arch/arm/mach-imx/devices/platform-mx1-camera.c
M;arch/arm/mach-imx/devices/platform-mx2-emma.c
M;arch/arm/mach-imx/devices/platform-mxc-ehci.c
M;arch/arm/mach-imx/devices/platform-mxc_nand.c
D;arch/arm/mach-imx/devices/platform-mxc_pwm.c
M;arch/arm/mach-imx/devices/platform-mxc_rnga.c
M;arch/arm/mach-imx/devices/platform-pata_imx.c
M;arch/arm/mach-imx/devices/platform-sdhci-esdhc-imx.c
M;arch/arm/mach-imx/devices/platform-spi_imx.c
M;arch/arm/mach-imx/devices-imx25.h
D;arch/arm/mach-imx/devices-imx51.h
M;arch/arm/mach-imx/ehci-imx25.c
M;arch/arm/mach-imx/ehci-imx27.c
M;arch/arm/mach-imx/ehci-imx31.c
M;arch/arm/mach-imx/ehci-imx35.c
D;arch/arm/mach-imx/ehci-imx5.c
A;arch/arm/mach-imx/ehci.h
M;arch/arm/mach-imx/epit.c
M;arch/arm/mach-imx/eukrea-baseboards.h
D;arch/arm/mach-imx/eukrea_mbimx27-baseboard.c
D;arch/arm/mach-imx/eukrea_mbimxsd51-baseboard.c
M;arch/arm/mach-imx/gpc.c
M;arch/arm/mach-imx/hardware.h
M;arch/arm/mach-imx/hotplug.c
A;arch/arm/mach-imx/imx1-dt.c
M;arch/arm/mach-imx/imx25-dt.c
M;arch/arm/mach-imx/imx27-dt.c
M;arch/arm/mach-imx/imx31-dt.c
A;arch/arm/mach-imx/imx35-dt.c
D;arch/arm/mach-imx/imx51-dt.c
M;arch/arm/mach-imx/iomux-imx31.c
D;arch/arm/mach-imx/iomux-mx51.h
M;arch/arm/mach-imx/iomux-v1.c
M;arch/arm/mach-imx/iomux-v3.c
M;arch/arm/mach-imx/irq-common.h
M;arch/arm/mach-imx/mach-apf9328.c
M;arch/arm/mach-imx/mach-armadillo5x0.c
M;arch/arm/mach-imx/mach-bug.c
D;arch/arm/mach-imx/mach-cpuimx27.c
M;arch/arm/mach-imx/mach-cpuimx35.c
D;arch/arm/mach-imx/mach-cpuimx51sd.c
M;arch/arm/mach-imx/mach-eukrea_cpuimx25.c
M;arch/arm/mach-imx/mach-imx27_visstrim_m10.c
D;arch/arm/mach-imx/mach-imx27ipcam.c
D;arch/arm/mach-imx/mach-imx27lite.c
A;arch/arm/mach-imx/mach-imx50.c
A;arch/arm/mach-imx/mach-imx51.c
M;arch/arm/mach-imx/mach-imx53.c
M;arch/arm/mach-imx/mach-imx6q.c
M;arch/arm/mach-imx/mach-imx6sl.c
A;arch/arm/mach-imx/mach-imx6sx.c
M;arch/arm/mach-imx/mach-kzm_arm11_01.c
D;arch/arm/mach-imx/mach-mx1ads.c
M;arch/arm/mach-imx/mach-mx21ads.c
